timestamp,team_name,first_name,last_name,email,school,class_year,major,participation,diet,tshirt_size,role
4/1/2017 20:14:05,The Pit,James,Andrews,james.andrews@pcu.edu,Port Chester University,First-year,Computer Science,No,No dietary restrictions,Large,Participant
3/31/2017 23:55:00,Passive Regression,Amanda,Boyd,amanda.boyd@pcu.edu,Port Chester University,First-year,Data Science,No,No dietary restrictions,Medium,Participant
4/3/2017 16:14:00,Fake iid's,Carolyn,Byrd,carolyn.byrd@hu.edu,Harrison University,Sophomore,Statistics,No,No dietary restrictions,Medium,Participant
3/31/2017 23:55:00,Passive Regression,Rosa,Fox,rosa.fox@pcu.edu,Port Chester University,First-year,"Computer Science, Mathematics",No,No dietary restrictions,Large,Participant
4/2/2017 22:20:05,Bae's Theorem,Adrienne,Fuller,adrienne.fuller@faber.edu,Faber College,Sophomore,"Natural Sciences (Biology, Chemistry, etc.)",Yes,No dietary restrictions,Small,Participant
3/31/2017 23:55:00,Passive Regression,Lucas,Gonzales,lucas.gonzales@pcu.edu,Port Chester University,First-year,Statistics,No,No dietary restrictions,Medium,Participant
4/4/2017 1:03:26,Bayes Anatomy,Meredith,Gray,mgray@googlemail.com,Faber College,First-year,Pre-med,No,No dietary restrictions,Small,Participant
4/3/2017 16:14:00,Fake iid's,Gordon,Hawkins,gordon.hawkins@hu.edu,Harrison University,Sophomore,Statistics,Yes,No dietary restrictions,Small,Participant
4/2/2017 22:20:05,Bae's Theorem,Sylvia,Hicks,sylvia.hicks@faber.edu,Faber College,Sophomore,Computer Science,No,Lacto Vegetarian,Large,Participant
4/1/2017 20:14:05,The Pit,Tom,Lawrence,tom.lawrence@pcu.edu,Port Chester University,First-year,Statistics,No,No dietary restrictions,Large,Participant
4/3/2017 16:14:00,Fake iid's,Cecilia,Pittman,cecilia.pittman@hu.edu,Harrison University,Sophomore,"Statistics, Mathematics",Yes,No dietary restriction,Small,Participant
4/3/2017 16:14:00,Fake iid's,Paul,Rios,paul.rios@hu.edu,Harrison University,Junior,"Computer Science, Statistics",No,Gluten Free,Medium,Participant
4/3/2017 16:14:00,Fake iid's,Ryan,Rose,rose.ryan@hu.edu,Harrison University,Junior,Statistics,Yes,No dietary restrictions,X-Large,Participant
4/4/2017 1:03:26,Bayes Anatomy,Derek,Shepherd,derek@googlemail.com,Faber College,Junior,"Mathematics, Pre-law",No,No dietary restrictions,Large,Participant
4/2/2017 22:20:05,Bae's Theorem,Toni,Simpson,toni.simpson@faber.edu,Faber College,Sophomore,Mathematics,No,No dietary restrictions,Medium,Participant
4/2/2017 22:20:05,Bae's Theorem,Vicky,Water,vicky.water@faber.edu,Faber College,Senior,Statistics,Yes,No dietary restrictions,Small,Participant
